Version,Timestamp,Score,MaxTile,TimeSpent,TurnsPerSecond,TurnsTotal,Down %,Right %,Up %,Left %,Garden,Note
0.1.6,16May2014 12:54:55,6900,512,03:32,2.33,494,0.4,27.3,46.2,26.1,[128 2 128 2 - 32 128 512 64 - 8 32 16 4 - 4 2 4 2],tim's build
0.1.6,16May2014 13:02:01,22864,2048,07:05,2.72,1156,0.2,25.6,46.9,27.3,[64 256 2048 8 - 32 64 2 32 - 8 32 16 2 - 2 4 2 4],tim's build
0.1.6,16May2014 13:04:57,7064,512,02:54,2.78,483,0.2,24.4,49.5,25.9,[64 256 4 2 - 16 128 512 32 - 8 4 16 4 - 4 2 4 8],tim's build
0.1.6,16May2014 13:09:17,12496,1024,04:19,2.9,751,0.1,24.0,47.0,28.9,[1024 256 2 64 - 16 64 128 32 - 8 16 32 4 - 2 4 8 2],tim's build
0.1.6,16May2014 13:13:10,9088,512,03:52,2.64,612,0.5,25.3,46.9,27.3,[256 2 256 2 - 32 128 512 64 - 8 64 32 4 - 2 4 8 2],tim's build
0.1.6,16May2014 13:15:47,5600,512,02:37,2.55,400,0.5,21.0,46.5,32.0,[128 512 4 32 - 32 64 32 16 - 16 2 16 4 - 2 4 8 2],tim's build
0.1.6,16May2014 13:21:31,14672,1024,05:42,2.56,875,0.1,26.2,47.7,26.1,[2 16 512 1024 - 32 128 64 32 - 16 32 16 4 - 2 4 8 2],tim's build
0.1.6,16May2014 13:27:13,13800,1024,05:42,2.49,852,0.1,25.0,47.8,27.1,[128 1024 256 128 - 32 64 128 32 - 16 32 16 4 - 2 4 8 2],tim's build
0.1.6,16May2014 13:33:07,16692,1024,05:52,2.81,988,0.0,25.5,48.4,26.1,[64 256 512 1024 - 32 64 128 64 - 16 32 8 4 - 4 2 4 2],tim's build
0.1.6,16May2014 13:41:54,27416,2048,08:46,2.74,1441,0.1,25.7,46.0,28.1,[2048 512 2 128 - 16 64 256 64 - 8 16 2 8 - 2 4 8 4],tim's build
0.1.6,16May2014 13:47:42,14788,1024,05:47,2.5,869,0.2,24.3,45.9,29.6,[128 1024 512 4 - 32 64 32 64 - 8 32 2 4 - 2 4 8 2],tim's build
0.1.6,16May2014 13:54:41,17216,1024,06:58,2.48,1038,0.0,27.1,46.3,26.6,[128 1024 512 256 - 32 64 128 64 - 8 16 32 4 - 2 4 8 2],tim's build
0.1.6,16May2014 13:58:46,10228,512,04:04,2.78,678,0.1,24.3,47.8,27.7,[64 512 64 512 - 16 64 128 64 - 8 32 16 8 - 4 2 8 2],tim's build
0.1.6,16May2014 14:01:20,6036,512,02:33,2.82,432,0.5,26.2,49.1,24.3,[64 512 2 64 - 16 32 128 32 - 8 16 64 8 - 4 2 4 2],tim's build
0.1.6,16May2014 14:07:42,16580,1024,06:20,2.57,976,0.2,27.3,46.8,25.7,[8 512 256 128 - 2 1024 128 32 - 8 32 16 4 - 4 2 8 2],tim's build
0.1.6,16May2014 14:14:43,17164,1024,07:01,2.46,1036,0.0,26.3,45.3,28.5,[128 1024 512 128 - 16 64 256 64 - 8 16 32 8 - 2 4 8 2],tim's build
0.1.6,16May2014 14:17:55,7532,512,03:10,2.79,530,0.2,23.2,48.3,28.3,[512 256 2 64 - 32 64 128 16 - 16 32 16 4 - 2 4 8 2],tim's build
0.1.6,16May2014 14:21:07,7452,512,03:11,2.7,515,0.4,27.0,47.2,25.4,[64 2 256 2 - 32 512 64 128 - 16 32 16 4 - 2 4 8 2],tim's build
0.1.6,16May2014 14:24:19,7348,512,03:10,2.66,506,0.2,23.7,49.6,26.5,[512 256 2 64 - 2 64 128 16 - 16 8 32 4 - 4 2 4 2],tim's build
0.1.6,16May2014 14:34:09,27692,2048,09:49,2.48,1460,0.0,26.5,46.4,27.1,[2048 512 256 64 - 32 64 128 32 - 8 16 32 16 - 2 4 8 2],tim's build
0.1.6,16May2014 14:40:34,16032,1024,06:24,2.47,947,0.2,24.4,44.2,31.2,[128 4 512 32 - 32 1024 256 16 - 8 32 16 4 - 2 4 8 2],tim's build
0.1.6,16May2014 14:45:26,12576,1024,04:50,2.61,758,0.0,25.3,47.1,27.6,[1024 256 2 64 - 32 64 128 32 - 8 16 32 8 - 4 8 4 2],tim's build
0.1.6,16May2014 14:48:44,7344,512,03:17,2.55,503,0.2,23.7,50.3,25.8,[512 256 2 64 - 8 32 128 16 - 16 64 8 4 - 2 8 4 2],tim's build
0.1.6,16May2014 14:52:50,8680,512,04:05,2.46,602,0.3,22.1,47.8,29.7,[128 512 2 128 - 16 64 256 64 - 2 8 128 8 - 4 2 4 2],tim's build
0.1.6,16May2014 15:02:52,27532,2048,10:01,2.39,1438,0.3,26.5,46.5,26.7,[2048 512 2 64 - 64 128 256 32 - 16 32 16 4 - 2 8 4 2],tim's build
0.1.6,16May2014 15:07:55,13000,1024,05:02,2.62,790,0.3,23.3,47.3,29.1,[128 1024 4 32 - 32 64 128 256 - 4 32 8 4 - 2 8 4 2],tim's build
0.1.6,16May2014 15:13:02,14748,1024,05:06,2.83,867,0.1,26.3,46.5,27.1,[1024 4 128 64 - 32 64 512 16 - 8 32 16 2 - 2 4 2 4],tim's build
0.1.6,16May2014 15:15:39,6300,512,02:36,2.88,450,0.0,28.0,45.6,26.4,[128 512 128 32 - 32 64 32 16 - 4 8 16 4 - 2 4 8 2],tim's build
0.1.6,16May2014 15:21:33,13920,1024,05:53,2.35,831,0.2,24.4,46.2,29.1,[256 4 128 32 - 32 1024 256 16 - 16 64 16 4 - 4 2 8 2],tim's build
0.1.6,16May2014 15:28:07,16600,1024,06:33,2.5,981,0.1,27.6,47.7,24.6,[8 512 256 128 - 16 1024 128 32 - 8 32 8 4 - 4 2 4 2],tim's build
0.1.6,16May2014 15:33:44,13508,1024,05:36,2.43,816,0.2,27.3,47.2,25.2,[64 256 4 256 - 8 32 1024 32 - 4 16 64 8 - 2 8 4 2],tim's build
0.1.6,16May2014 15:35:37,3496,256,01:52,2.63,295,0.7,25.1,45.8,28.5,[2 64 2 256 - 32 4 128 16 - 8 32 64 4 - 2 4 16 2],tim's build
0.1.6,16May2014 15:39:30,8072,512,03:52,2.42,562,0.4,25.1,45.7,28.8,[512 2 64 4 - 64 128 256 128 - 16 32 8 4 - 2 8 4 2],tim's build
0.1.6,16May2014 15:42:40,7848,512,03:09,2.9,549,0.0,27.1,48.8,24.0,[128 512 256 8 - 16 32 64 128 - 8 16 8 4 - 4 2 4 2],tim's build
0.1.6,16May2014 15:44:42,4276,256,02:01,2.88,348,0.3,22.1,50.3,27.3,[128 256 2 64 - 16 32 128 32 - 8 64 32 8 - 4 2 4 2],tim's build
0.1.6,16May2014 15:48:40,8940,512,03:57,2.65,629,0.2,28.3,47.1,24.5,[128 512 256 128 - 32 64 128 64 - 16 32 16 4 - 2 4 8 2],tim's build
0.1.6,16May2014 15:55:23,17888,1024,06:42,2.66,1070,0.2,24.8,45.8,29.3,[256 1024 2 128 - 16 64 512 32 - 8 16 256 16 - 2 4 8 4],tim's build
0.1.6,16May2014 16:02:03,16888,1024,06:39,2.52,1004,0.2,28.2,46.7,24.9,[2 512 256 128 - 1024 64 128 32 - 8 32 16 8 - 2 4 8 2],tim's build
0.1.6,16May2014 16:06:51,9940,512,04:47,2.41,691,0.1,25.9,45.2,28.8,[256 512 256 128 - 32 64 128 64 - 8 32 16 4 - 2 4 8 2],tim's build
0.1.6,16May2014 16:10:13,7128,512,03:21,2.53,509,0.2,23.2,47.5,29.1,[64 2 256 16 - 32 64 512 64 - 16 32 16 4 - 2 4 8 2],tim's build
0.1.6,16May2014 16:13:08,6308,512,02:53,2.61,452,0.2,23.5,48.9,27.4,[128 2 128 32 - 32 512 64 16 - 8 32 16 4 - 4 2 4 8],tim's build
0.1.6,16May2014 16:19:21,15824,1024,06:12,2.53,943,0.4,24.6,47.1,27.9,[128 1024 2 128 - 16 64 512 16 - 4 32 128 8 - 2 8 4 2],tim's build
0.1.6,16May2014 16:27:45,25748,2048,08:23,2.63,1324,0.2,25.8,47.0,27.0,[64 512 2 32 - 16 128 64 16 - 8 16 2048 4 - 2 4 8 2],tim's build
0.1.6,16May2014 16:32:32,11412,512,04:45,2.6,740,0.3,24.5,47.2,28.1,[512 2 512 64 - 16 128 256 32 - 64 32 8 4 - 2 8 4 2],tim's build
0.1.6,16May2014 16:37:07,12824,1024,04:34,2.81,769,0.1,24.1,49.2,26.7,[1024 256 128 16 - 128 32 64 8 - 8 16 8 2 - 2 4 2 4],tim's build
0.1.6,16May2014 16:42:12,13304,1024,05:04,2.67,812,0.1,25.9,48.5,25.5,[1024 2 128 64 - 32 128 256 32 - 8 32 64 16 - 2 4 8 2],tim's build
0.1.6,16May2014 16:47:21,14340,1024,05:08,2.67,821,0.1,26.8,46.3,26.8,[16 512 128 4 - 4 1024 64 16 - 16 32 16 4 - 2 4 8 2],tim's build
0.1.6,16May2014 16:52:55,15344,1024,05:34,2.7,903,0.0,26.2,47.1,26.7,[128 1024 512 64 - 16 128 64 32 - 8 16 8 2 - 2 4 2 4],tim's build
0.1.6,16May2014 16:59:59,17968,1024,07:02,2.55,1074,0.1,27.7,45.9,26.4,[256 1024 512 64 - 16 128 256 32 - 4 16 32 16 - 2 8 4 2],tim's build
0.1.6,16May2014 17:06:56,17720,1024,06:56,2.52,1049,0.2,25.9,47.1,26.8,[256 512 8 4 - 8 128 256 1024 - 16 64 16 2 - 2 4 8 4],tim's build
0.1.6,16May2014 17:11:54,12692,1024,04:57,2.62,778,0.3,26.2,47.0,26.5,[32 1024 256 64 - 16 64 128 32 - 8 16 32 16 - 2 4 8 4],tim's build
0.1.6,16May2014 17:19:13,18332,1024,07:18,2.52,1105,0.1,23.7,46.6,29.6,[1024 512 8 256 - 16 128 256 128 - 8 32 16 4 - 2 4 8 2],tim's build
0.1.6,16May2014 17:25:35,16488,1024,06:21,2.6,992,0.0,27.2,47.6,25.2,[1024 512 256 64 - 16 64 128 16 - 8 32 16 4 - 2 4 8 2],tim's build
0.1.6,16May2014 17:28:28,6984,512,02:52,2.77,477,0.4,26.6,47.4,25.6,[32 256 2 32 - 16 512 128 8 - 8 32 16 4 - 2 4 8 2],tim's build
0.1.6,16May2014 17:36:09,22988,2048,07:40,2.54,1167,0.3,25.6,46.9,27.2,[256 4 32 2 - 2 16 2048 8 - 8 128 32 2 - 2 4 8 16],tim's build
0.1.6,16May2014 17:42:27,16528,1024,06:17,2.62,989,0.1,25.8,48.1,26.0,[64 256 512 1024 - 16 64 128 32 - 8 32 16 8 - 2 4 8 2],tim's build
0.1.6,16May2014 17:48:46,16536,1024,06:18,2.62,992,0.1,25.6,48.4,25.9,[64 256 512 1024 - 16 128 64 32 - 8 32 16 8 - 2 4 2 4],tim's build
0.1.6,16May2014 17:50:48,4424,256,02:01,2.85,345,0.6,25.5,48.1,25.8,[256 8 2 64 - 16 32 256 16 - 8 16 64 4 - 2 4 8 2],tim's build
0.1.6,16May2014 17:54:32,7984,512,03:44,2.46,551,0.2,25.2,46.8,27.8,[128 512 4 128 - 32 64 256 32 - 16 32 16 4 - 2 4 8 2],tim's build
0.1.6,16May2014 18:03:03,25880,2048,08:29,2.62,1335,0.3,26.2,47.2,26.3,[2 4 64 2 - 2048 128 512 64 - 64 8 16 8 - 2 4 2 4],tim's build
0.1.6,16May2014 18:10:58,24304,2048,07:54,2.68,1270,0.0,26.4,48.0,25.7,[2048 256 128 64 - 32 128 64 16 - 8 16 32 4 - 2 4 8 2],tim's build
0.1.6,16May2014 18:19:40,21904,1024,08:41,2.49,1299,0.0,26.7,45.1,28.2,[512 1024 512 256 - 16 128 256 32 - 32 64 2 4 - 2 4 8 2],tim's build
0.1.6,16May2014 18:22:34,6704,512,02:54,2.7,469,0.2,23.9,47.5,28.4,[32 256 32 8 - 16 512 64 32 - 8 32 16 8 - 2 4 8 4],tim's build
0.1.6,16May2014 18:26:58,11796,1024,04:23,2.68,705,0.3,24.8,47.0,27.9,[64 2 4 1024 - 32 64 256 16 - 8 16 32 4 - 2 4 8 2],tim's build
0.1.6,16May2014 18:36:19,25912,2048,09:19,2.4,1342,0.1,26.1,48.1,25.7,[2048 512 2 32 - 32 2 128 64 - 16 64 32 4 - 2 4 8 2],tim's build
0.1.6,16May2014 18:43:12,16016,1024,06:53,2.28,942,0.2,24.1,45.9,29.8,[64 1024 512 64 - 32 256 64 16 - 8 16 32 4 - 2 4 8 2],tim's build
0.1.6,16May2014 18:46:32,7496,512,03:18,2.63,521,0.2,22.8,50.7,26.3,[512 2 128 64 - 32 256 64 16 - 16 32 8 4 - 2 4 16 2],tim's build
0.1.6,16May2014 18:54:43,18608,1024,08:10,2.24,1098,0.2,24.0,47.4,28.4,[512 1024 512 2 - 32 128 64 32 - 8 16 32 8 - 2 4 8 4],tim's build
0.1.6,16May2014 19:01:24,16580,1024,06:40,2.48,992,0.1,25.8,46.2,27.9,[1024 512 256 64 - 32 128 64 32 - 8 32 16 2 - 2 4 2 4],tim's build
0.1.6,16May2014 19:07:47,16776,1024,06:21,2.65,1008,0.0,25.5,47.7,26.8,[1024 512 256 64 - 64 128 64 32 - 8 32 16 8 - 2 4 2 4],tim's build
0.1.6,16May2014 19:10:45,7296,512,02:57,2.87,508,0.2,27.4,46.1,26.4,[2 256 128 16 - 512 64 32 4 - 16 32 4 32 - 2 4 2 8],tim's build
0.1.6,16May2014 19:16:51,16288,1024,06:06,2.63,962,0.0,25.2,47.4,27.4,[1024 512 256 32 - 32 128 64 16 - 8 16 8 32 - 2 4 2 4],tim's build
0.1.6,16May2014 19:21:17,10732,512,04:25,2.64,699,0.4,26.5,47.9,25.2,[8 64 4 512 - 2 512 256 32 - 64 32 16 4 - 2 4 8 2],tim's build
